date,close,change,volume,open,high,low
2019-03-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-08,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-11,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-14,12.00,0.00 (0.00 %),2100,12.00,12.00,12.00
2019-03-15,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-22,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-03-28,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-03-29,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-01,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-02,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-04,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-05,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-08,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-09,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-10,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-11,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-12,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-16,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-22,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-23,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-24,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-04-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-04-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-02,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-06,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-07,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-08,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-09,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-10,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-13,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-14,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-15,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-16,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-17,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-20,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-21,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-22,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-23,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-24,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-27,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-28,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-29,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-05-30,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-05-31,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-03,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-04,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-05,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-10,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-11,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-14,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-24,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-06-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-06-28,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-07-01,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-07-02,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-07-03,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-07-04,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-07-05,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-07-08,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-09,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-10,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-11,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-12,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-15,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-16,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-17,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-18,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-19,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-22,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-23,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-24,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-25,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-26,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-29,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-07-30,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-07-31,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-08-01,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-08-02,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-08-05,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-08-06,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-08-07,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-08-08,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-08-09,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-08-12,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-08-13,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-08-14,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2019-08-15,12.00,0.80 (7.14 %),3700,12.00,12.00,12.00
2019-08-16,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-08-19,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-08-20,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-08-21,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-08-22,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-08-23,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-08-26,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-08-27,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-08-28,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-08-29,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-08-30,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-04,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-05,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-06,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-09,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-10,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-11,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-12,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-13,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-16,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-17,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-18,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-19,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-20,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-23,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-24,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-25,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-26,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-09-27,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-09-30,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-01,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-02,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-04,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-07,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-08,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-09,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-10,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-11,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-14,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-15,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-16,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-17,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-18,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-21,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-22,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-23,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-24,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-25,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-28,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-29,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-10-30,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-10-31,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-01,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-04,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-05,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-08,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-11,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-14,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-15,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-22,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-11-28,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-11-29,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-02,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-03,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-04,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-05,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-09,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-10,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-11,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-16,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-19,12.00,0.00 (0.00 %),3900,12.0,12.00,12.00
2019-12-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-23,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-24,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2019-12-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2019-12-27,12.00,0.00 (0.00 %),1550,12.0,12.00,12.00
2019-12-30,12.00,0.00 (0.00 %),700,12.00,12.00,12.00
2019-12-31,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-02,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-03,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-08,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-09,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-10,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-14,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-15,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-16,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-22,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-01-30,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-01-31,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-03,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-04,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-05,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-10,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-11,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-14,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-24,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-02-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-02-28,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-02,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-04,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-05,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-06,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-09,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-10,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-16,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-23,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-24,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-03-30,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-03-31,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-01,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-03,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-08,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-09,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-10,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-14,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-15,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-16,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-17,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-22,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-23,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-24,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-04-28,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-04-29,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-04,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-05,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-06,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-07,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-08,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-11,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-12,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-13,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-14,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-15,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-18,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-19,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-20,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-21,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-22,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-25,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-26,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-27,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-05-28,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-05-29,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-01,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-02,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-04,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-05,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-08,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-09,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-10,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-11,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-12,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-15,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-16,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-17,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-18,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-19,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-22,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-23,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-24,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-25,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-26,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-06-29,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-06-30,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-07-01,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-07-02,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-07-03,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-07-06,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-07-07,12.00,0.00 (0.00 %),0,12.00,12.00,12.00
2020-07-08,12.00,0.00 (0.00 %),0,12.0,12.00,12.00
2020-07-09,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-10,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-13,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-14,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-15,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-16,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-17,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-20,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-21,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-22,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-23,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-24,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-27,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-28,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-29,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-07-30,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-07-31,11.10,0.00 (0.00 %),0,11.10,11.10,11.10
2020-08-03,11.10,0.00 (0.00 %),0,11.1,11.10,11.10
2020-08-04,11.00,-0.10 (-0.90 %),5100,11.00,11.00,11.00
2020-08-05,11.00,0.00 (0.00 %),2100,11.0,11.00,11.00
2020-08-06,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-07,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2020-08-10,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-11,11.00,0.00 (0.00 %),3700,11.0,11.00,11.00
2020-08-12,11.00,0.00 (0.00 %),2750,11.00,11.00,11.00
2020-08-13,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2020-08-14,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-17,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2020-08-18,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-19,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2020-08-20,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-21,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2020-08-24,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-25,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2020-08-26,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2020-08-27,11.00,0.00 (0.00 %),900,11.0,11.00,11.00
2020-08-28,11.00,0.00 (0.00 %),3700,11.00,12.00,11.00
2020-08-31,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-01,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-03,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-04,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-07,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-08,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-09,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-10,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-11,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-14,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-15,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-16,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-17,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2020-09-18,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2020-09-21,11.00,-0.20 (-1.79 %),20000,11.0,11.00,11.00
2020-09-22,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
